Client_Name,Manufacturer,Category,Registration_Date,Local_Agent,Expiry_Date,Product_Name,Product_Category
The Arab Pesticide and Vertinary Drugs,ARAB PESTICIDE & VETERINARY DRUGS MANUFACTURING COMPANY,Drugs,12/06/2023,"MULTIVET(GH) LIMITED,P.O. BOX CT 5766 CANTOMENTS ACCRA",01/11/2026,AMIRAZ 20%,Drugs and Nutraceuticals
"GR Industries Limited - 15/5 Valco Road, Heavy Industries Area, Tema, Accra, Ghana","Centurion Laboratories Private Limited - P-2 Savli Biotech Park, At-Manjusar Ta:Savli Dist:, India",Drugs,08/03/2024,"GR Industries Limited - 15/5 Valco Road, Heavy Industrial Area Tema",01/02/2027,NIFEDOSE XR TABLETS  (Each tablet contains Nifedipine USP 30mg),Drugs and Nutraceuticals
"RENIE CHEMIST LIMITED, P.O.BOX AN 15194 ACCRA","Pratima Pharmaceuticals  - Gat No 56/3, Pratimangar, Pabal Road, Shikrapur,Pune,Maharashtra 412208, India",Drugs,04/09/2024,"RENIE CHEMIST LIMITED, P.O.BOX AN 15194 ACCRA",01/10/2029,METROAID-F- SUSPENSION  (Each 5ml contains METRONIDAZOLE & FURAZOLIDONE 100mg/ 50mg),Drugs and Nutraceuticals
O'NART PHARMACY LIMITED,"O'NART PHARMACY LIMITED, P.O. BOX 1527 TAKORADI",Drugs,02/11/2021,"O'NART PHARMACY LIMITED, P.O. BOX 1527 TAKORADI",01/12/2026,O'NART VITAMIN C SYRUP,Drugs and Nutraceuticals
ACINO AG AM WINDFIELD 3583714 MIEOBACH GERMANY,"Merckle Gmbh - Luduig, Merckle-Strusse 3, 89143 Blaubeuren, Germany",Drugs,21/07/2023,"GOKALS-LABOREX, P.O.BOX GP 623, 7 BARNES ROAD/FARRAR AVENUE, NEAR HOLY SPIRIT CATHEDRAL, ACCRA, GHANA",01/08/2026,XYLO ACINO NASAL ADULT  SPRAY  ( Xylometazoline Hydrochloride 0.1%w/v),Drugs and Nutraceuticals
"GB PHARMA LIMITED, 65 CHATSWORTH ROAD LONDON NW2 4BG UNITED KINGDOM",IMPERIA LIFE SCIENCES PVT LIMITED,Drugs,11/12/2023,GB PHARMA(GH) LIMITED P.O BOX 18100 GPO ACCRA,01/12/2026,VAGINAX-100,Drugs and Nutraceuticals
"INNOCIA LIFESCIENCES PVT LIMITED, 12A/2 SPARTAN NAGAR,MUGGAPAIR,CHENNAI,TAMIL NADU,INDIA,600037.","ATOZ PHARMACEUTICALS PVT LIMITED, NO 12, BALAJI NAGAR, AMBATTUR, CHENNAI-600 053, INDIA",Drugs,29/05/2024,"OA&J PHARMACEUTICALS LIMITED, PLOT NO IND/A/71/G/11, TEMA HEAVY INDUSTRIAL AREA, ACCRA-GHANA",01/05/2029,INOXIME-200 TABLETS,Drugs and Nutraceuticals
"BAODING SUNLIGHT HEIB MEDICAMENT CO. LIMITED, NO 3881, GREAT WALL SOUTH STREET. BAODING CITY HEBEI PROVINCE CHINA",BAODING SUNLIGHT HERB MEDICAMENT CO LIMITED NO 3881 GREAT WALL SOUTH STREET HEBEI PROVINCE CHINA,Drugs,16/09/2024,"MEDIVET, P.O.BOX WJ 550 WEIJA ACCRA",01/10/2029,MEDISERYL WSP,Drugs and Nutraceuticals
"AURA PHARMACEUTICALS LIMITED; 306-A, HARI OM PLAZA, M. G. ROAD, BORIVALI (EAST), MUMBAI – 400066, INDIA","M/s. Mccoy Pharma Pvt. Ltd. - Plot No. S-12,               MIDC Tarapur, Boisar, Palghar, Dist –Palghar, Tarapur 401506  , India",Drugs,07/05/2024,Moon Pharma Ghana Limited - Moon Pharma Gh Limited P.O Box An 8384 Accra North,01/02/2027,MOVIDIUM CAPSULES  (Each capsule contains Loperamide hydrochloride 2mg),Drugs and Nutraceuticals
VIRCHOW HEALTHCARE PVT LIMITED,VIRCHOW HEALTHCARE PRIVATE LIMITED IND COMPLETE MANUFACTURING,Drugs,04/03/2024,"ARTEMIS SCIENCES LIMITED, PLOT NO. 41, SOUTH INDUSTRIAL AREA, P.O.BOX CT 1147, CANTONMENTS, ACCRA, GHANA",01/03/2027,ZINAVIR-1.5 INJECTION   (Each Injection contains  Cefuroxime Sodium 1.5g),Drugs and Nutraceuticals
"M/S Ronak Exim Pvt Ltd - Sant Kabir Road    Behind Gendigate Police Station Baroda   390001 Gujarat, India","Aculife Healthcare Private Limited - Village- Sachana, Taluka-Viramgam, District-Ahmedabad-382150 Gujarat, India",Drugs,03/05/2024,"Roxin Ghana Limited - Pmb 78,Osu No. 12 Osu Avenue Ext. Switch Back Road, Adjacent Police Hq. Cantonments Accra",01/05/2027,NIRCIP  INFUSION  (Each 100ml contains Ciprofloxacin Hydrochloride 200mg),Drugs and Nutraceuticals
"KINAPHARMA LIMITED, P.O.BOX, 241, TRADE FAIR, LA, ACCRA, GHANA","KINAPHARMA LIMITED, P.O.BOX, 241, TRADE FAIR, LA, ACCRA, GHANA",Drugs,22/03/2022,"KINAPHARMA LIMITED, P.O.BOX, 241, TRADE FAIR, LA, ACCRA, GHANA",01/04/2027,ISOKIN TABLETS,Drugs and Nutraceuticals
"KINAPHARMA LIMITED, P.O.BOX, 241, TRADE FAIR, LA, ACCRA, GHANA","KINAPHARMA LIMITED, P.O.BOX 241 TRADE FAIR LA ACCRA",Drugs,30/07/2021,"KINAPHARMA LIMITED, P.O.BOX, 241, TRADE FAIR, LA, ACCRA, GHANA",01/08/2026,MENTHOX CHILDREN'S COUGH SYRUP,Drugs and Nutraceuticals
Intravenous Infusion Limited,"Intravenous Infusions Plc - P.O.Box KF 63 Koforidua, Ghana",Drugs,15/05/2024,"Intravenous Infusions Plc  - P.O.Box KF 63, Koforidua",01/08/2029,SODIUM CHLORIDE SOLUTION FOR INJECTION 0.9%(INTRAFLEX) INFUSION,Drugs and Nutraceuticals
"RONAK EXIM PVT LIMITED; SANT KABIR ROAD, BEHIND GENDI GATE POLICE STATION BARODA VADODARA 390001 GUJARAT, INDIA","NUTRA HEALTHCARE, 29/30, SOHAM INDUSTRIAL ESTATE, OPP ERO SHOWROOM,  N.H. ROAD-8 KAMREJ, SURAT-394185 GUJARAT INDIA",Drugs,15/04/2024,"ROXIN GHANA LIMITED; NO 12 OSU AVENUE EXT, SWITCH BACKGROUND, ADJACENT POLICE HQ CANTONMENT, ACCRA GHANA",01/06/2029,RONAK'S MULTIVITAMIN TABLETS,Drugs and Nutraceuticals
"ENTRANCE PHARMACEUTICALS & RESEARCH CENTRE, P.O.BOX CT 10805 ACCRA","ENTRANCE PHARMACEUTICALS & RESEARCH CENTRE, P.O.BOX CT 10805 ACCRA",Drugs,29/10/2021,"ENTRANCE PHARMACEUTICALS & RESEARCH CENTRE, P.O.BOX CT 10805 ACCRA",01/11/2026,ENTRACIN 150MG CAPSULES,Drugs and Nutraceuticals
LETAP PHRAMCEUTICALS LIMITED P.O BOX GP 3346,LETAP PHARMACEUTICALS LIMITED GHA COMPLETE MANUFACTURING,Drugs,08/03/2024,"LETAP PHARMACEUTICALS LIMITED; P.O.BOX 3346 PLOT 107, GRAPHIC ROAD ACCRA, GHANA",01/04/2029,LETAVIN,Drugs and Nutraceuticals
NEW GLOBAL PHARMACEUTICAL LIMITED,"NEW GLOBAL PHARMACEUTICALS LIMITED, P.O.BOX 2448, ACCRA",Drugs,15/07/2021,NEW GLOBAL PHARMACEUTICAL LIMITED P.O.BOX 2448 ACCRA,01/08/2026,GLODRIL SUSPENSION (SULPHAMETHOXAZOLE 200MG+TRIMETHOPRIM 80MG),Drugs and Nutraceuticals
PHARMANOVA LIMITED NO 3 OKODAN STREET OSU MANHEAN ACCRA GHANA,"ATLANTIC LIFESCIENCES LIMITED; P.O.BOX PP 103, PRAMPRAM",Drugs,02/12/2021,"PHARMANOVA LIMITED; P.O.BOX AT 579, ACHIMOTA ACCRA",31/12/2026,MOXILANT 0.55w/w EYE DROP,Drugs and Nutraceuticals
"OA&J PHARMACEUTICALS LIMITED, PLOT NO IND/A/71/G/11, TEMA HEAVY INDUSTRIAL AREA, ACCRA-GHANA","ATOZ PHARMACEUTICALS PVT LIMITED, NO 12, BALAJI NAGAR, AMBATTUR, CHENNAI-600 053, INDIA",Drugs,02/10/2023,"OA&J PHARMACEUTICALS LIMITED, PLOT NO IND/A/71/G/11, TEMA HEAVY INDUSTRIAL AREA, ACCRA-GHANA",01/05/2029,NORTIZ TABLETS,Drugs and Nutraceuticals
SOCOMED  PHARMA LIMITED NO 3 MARUTI PARADISE PLOT NO 93-95 SECTOR -15 CBD BELAPUR NAVI MUMBAI 400614 INDIA,SOCOMED PHARMCEUTICALS PVT LIMITED,Drugs,07/08/2023,"ABYAK PHARMA LIMITED, P.O.BOX 5580 KUMASI",01/09/2026,ABYMOL FORTE CAPSULES  (Each hard gelatin capsule contains Paracetamol/ Diclofenac sodium/ Caffeine Paracetamol/Phenylephrine Hydrochloride/Chlorpheniramine Maleate 325mg/50mg/30mg),Drugs and Nutraceuticals
PHYTO  RIKER (GIHOC) PHARAMACEUTICALS LIMITED P.O BOX AN 5266 ACCRA NORTH,PHYTO-RIKER PHARMACEUTICALS LIMITED,Drugs,02/10/2023,PHYTO  RIKER (GIHOC) PHARAMACEUTICALS LIMITED P.O BOX AN 5266 ACCRA NORTH,01/09/2029,IBUPROFEN,Drugs and Nutraceuticals
KOFIKROM PHARMACEUTICALS LIMITED SSNIT FLATS A1/4 DTD SAKUMONO ESTATE COMM 13 TEMA GHANA,"Centurion Healthcare Private Limited  -  601, Atlantis Heights, Sarabhai Compound, Vadi Wadi, Vadodara-390007, Gujarat, India",Drugs,04/06/2024,KOFIKROM PHARMACEUTICALS LIMITED SSNIT FLATS A1/4 DTD SAKUMONO ESTATE COMM 13 TEMA GHANA,01/02/2029,METCLOMIN ER 850 TABLETS   (Each uncoated extended release tablet contains Metformin Hydrochloride 850mg ),Drugs and Nutraceuticals
PHYTO  RIKER (GIHOC) PHARAMACEUTICALS LIMITED P.O BOX AN 5266 ACCRA NORTH,"PHYTO-RIKER (GIHOC) PHARMACEUTICALS LIMITED, P.O.BOX AN 5266, ACCRA NORTH",Drugs,25/06/2021,PHYTO  RIKER (GIHOC) PHARAMACEUTICALS LIMITED P.O BOX AN 5266 ACCRA NORTH,01/07/2026,METRONIDAZOLE 400MG TABLETS,Drugs and Nutraceuticals
"GR INDUSTRIES LIMITED, P.O.BOX 3368 ACCRA, GHANA","GR INDUSTRIES LIMITED,ACCRA",Drugs,01/10/2023,"GR INDUSTRIES LIMITED, P.O.BOX 3368 ACCRA, GHANA",01/09/2029,CARBOZAP 2%,Drugs and Nutraceuticals
"SAMOSPHARMA LIMITED, P.O.BOX SK 1213 SAKUMONO TEMA WBHA 926 BAATSONA SPINTEX ROAD, GHANA","Trident Lifeline Limited - 635, G.I.D.C, waghodia, Vadodara, India",DRUGS,23/11/2023,"Samospharma Limited   -  P. O. Box SK 1213   Sakumono   Tema , Ghana",31/12/2026,SAMOTEM 20/120 DRY SUSPENSION,Drugs and Nutraceuticals
"GOLDEN TOWER LIMITED; P.O.BOX 2720, ACCRA",Golden Tower Limited - P.O Box GP 2720 Accra,Drugs,10/04/2024,Golden Tower Limited - P.O Box GP 2720 Accra,01/06/2027,MIXTAB SYRUP  (Each 5ml contains Paracetamol/Chlorpheniramine maleate 125mg/1mg),Drugs and Nutraceuticals
"LAVINA PHARMACEUTICALS PVT. LIMITED, SATRA PLAZA, OFFICE NO.402 PLOT NO. 19-20, SECTOR-19 D, PALM BEACH RD, NAVI MUMBAI, MAHARASHTRA 400703, INDIA",BHARAT PARENTERALS LIMITED,Drugs,15/06/2023,ERNEST CHEMIT LIMITED P.O.BOX 3345 ACCRA,01/07/2026,INJECTION  ( Artesunate 60mg),Drugs and Nutraceuticals
